姓名,性别,学号,籍贯,生源地,联系电话,邮箱,民族,专业,班级,政治面貌,爱好,素质拓展学分,四级通过,六级通过,计算机二级通过,总排名,平均绩点,应修学分,已修学分,挂科科目总学分,挂科数目,是否学业警示,高考成绩,应用多元统计分析总评成绩,面板数据分析总评成绩,挂科科目,参加讲座次数,参加社团名称,参加社团数目,参加竞赛数目,参加竞赛名称,荣誉称号次数,去图书馆次数,食堂吃早饭的次数,食堂吃午饭的次数,食堂吃晚饭的次数,骑小绿的次数,坐小白的次数,校园卡消费总金额,食堂消费金额,身高,体重,助学金次数,奖学金次数,寝室地址,惩罚,工作地点,工作行业,就业状态,家庭年收入,校园卡消费总金额,家庭受教育子女数,家庭劳动力占比,家人重病,自然灾害,突发事故,是否烈士子女,是否孤儿,是否残疾,是否单亲家庭
胡佳,1,161203105371,广东平远,广东平远,13527208945,987271123@qq.com,汉,1,1,2,足球,4,1,0,1,11,3.66,120,114,0,0,0,510,74.6,87,null,3,徒步社团，足球社团,2,1,全国数学建模大赛,2,30,30,31,29,30,15,1010,910,169,58,0,0,1栋213,0,深圳,互联网,1,13,1010,1,0.3,0,0,0,1,0,0,0
刘烨,2,161203105373,广东汕尾,广东汕尾,13312853110,234412840@qq.com,汉,1,2,3,足球,4,1,0,1,12,3.65,120,111,3,1,0,511,92,89,高等数学,3,篮球社团，摄影社团,2,1,全国数学建模大赛,2,20,31,21,30,31,5,1011,911,169,58,0,2,6栋214,0,深圳,互联网,1,15,1011,1,0.3,0,0,0,0,0,0,0
何丽,2,161203105380,黑龙江哈尔滨,黑龙江哈尔滨,13160676337,987271112@qq.com,汉,1,2,3,足球,4,1,0,1,13,3.64,120,111,3,1,0,512,84.2,70,高等数学,3,篮球社团，摄影社团,2,1,全国统计建模大赛,3,21,20,22,19,32,6,1012,912,169,58,0,2,1栋615,0,深圳,医药,1,14,1012,2,0.3,0,0,0,0,0,0,0
梁智,1,161203105381,广东高州,广东高州,13138149123,123421142@qq.com,汉,1,2,3,足球,4,1,0,1,14,3.62,120,111,3,1,0,450,70,60,高等数学,3,篮球社团，摄影社团,2,1,全国统计建模大赛,3,22,21,23,20,33,7,1013,913,165,50,0,2,3栋516,0,佛山,互联网,1,16,1013,3,0.3,0,1,0,0,0,0,0
林恩,1,161203105386,广东阳春,广东阳春,15099840510,321139823@qq.com,蒙古族,1,2,3,足球,4,1,0,1,15,3.59,120,111,3,1,0,451,78.4,70,高等数学,3,摄影社团，音乐社团,2,1,全国统计建模大赛,0,23,22,24,21,34,8,1014,914,165,50,0,3,1栋317,0,佛山,互联网,1,18,1014,2,0.3,0,2,1,0,0,0,0
温昕,2,161203105321,广东普宁,广东普宁,13128500550,111122844@qq.com,汉,1,2,3,乒乓球,4,1,0,1,16,3.57,120,111,3,1,0,452,90.8,84,高等数学,3,统计与大数据协会，音乐社团，舞蹈协会,3,1,全国统计建模大赛,0,24,23,25,22,35,9,900,800,165,50,0,3,4栋418,0,佛山,互联网,1,28,900,2,0.4,0,0,0,0,0,0,0
刘婷,1,161203105388,广东潮州,广东潮州,13435062151,111123145@qq.com,汉,1,1,3,乒乓球,2,1,0,1,17,3.56,120,111,3,1,0,453,80.6,83,高等数学,3,统计与大数据协会，音乐社团，舞蹈协会,3,1,全国统计建模大赛,0,25,24,26,23,36,10,901,801,165,50,0,3,1栋219,0,佛山,互联网,1,22,901,2,0.4,0,0,0,0,0,0,0
郑四,2,161202105404,广东广州,广东广州,13302855793,333221346@qq.com,汉,1,1,4,乒乓球,2,1,0,1,18,3.55,120,111,3,1,0,454,92.8,92,线性代数,3,统计与大数据协会，音乐社团，舞蹈协会,3,2,泰迪杯统计建模大赛，全国统计建模大赛,0,26,25,27,24,37,5,902,802,166,50,0,3,6栋220,0,佛山,互联网,1,35,902,2,0.4,0,0,0,0,0,0,0
陈楚,2,161203105389,广东揭阳,广东揭阳,13106804499,922334147@qq.com,汉,1,1,4,乒乓球,2,0,0,1,19,3.54,120,111,3,1,0,455,88.8,68,线性代数,3,物理协会，公益社团，舞蹈协会,3,2,泰迪杯统计建模大赛，全国统计建模大赛,0,27,26,28,25,38,6,903,803,166,50,0,1,1栋221,0,佛山,互联网,1,32,903,2,0.4,0,0,0,0,0,0,0
李艺,1,161203107239,黑龙江哈尔滨,黑龙江哈尔滨,18688374742,12343447@163.com,朝鲜族,1,2,4,羽毛球,2,0,0,0,20,3.53,120,111,3,1,0,456,94,87,线性代数,3,物理协会，公益社团，舞蹈协会,3,2,泰迪杯统计建模大赛，全国统计建模大赛,0,28,27,29,26,39,7,904,804,166,50,0,1,9栋222,0,佛山,互联网,1,27,904,2,0.4,0,1,0,0,0,0,0
梁桦,1,161203105314,广东广州,广东广州,18182621598,92313447@163.com,汉,1,2,4,羽毛球,2,0,0,0,21,3.52,120,111,3,1,0,457,94.4,89,线性代数,3,物理协会，统计与大数据社团，舞蹈协会,3,2,全国大数据竞赛，全国统计建模大赛,0,29,28,30,27,40,8,905,805,166,50,0,1,1栋223,0,珠海,游戏,1,44,905,2,0.4,0,2,0,0,0,0,0
蔡微,1,161203105344,广东汕头,广东汕头,13640390928,123342117@163.com,汉,1,1,4,羽毛球,2,0,0,0,22,3.51,120,111,3,1,0,458,72.8,77,线性代数,3,物理协会，统计与大数据社团，读书社团,3,2,全国大数据竞赛，全国统计建模大赛,0,30,29,31,28,41,9,906,806,177,65,0,1,9栋224,0,珠海,金融,1,24,906,2,0.4,0,0,0,0,0,0,0
蔡钦,2,161203105392,内蒙古赤峰,内蒙古赤峰,13128545322,123422227@163.com,满族,3,2,4,羽毛球,2,0,0,0,23,3.43,120,111,3,1,0,470,69.8,83,线性代数,3,徒步社团，摄影社团，读书社团,3,2,全国大数据竞赛，全国统计建模大赛,0,10,30,16,29,42,10,907,807,177,65,0,1,8栋225,0,珠海,医药,1,25,907,2,0.4,0,0,0,0,0,0,0
陈勋,1,161203105394,广东普宁,广东普宁,13169630737,644556t47@163.com,汉,3,2,4,羽毛球,2,0,0,0,24,3.42,120,111,3,1,0,471,74.4,89,概率论,3,null,0,2,全国大数据竞赛，全国统计建模大赛,0,11,31,17,30,20,5,908,808,177,65,0,1,7栋226,0,珠海,教育,1,32,908,2,0.4,0,0,0,0,0,0,0
徐李,2,161203106337,四川乐山,四川乐山,13692240839,646g523447@163.com,汉,3,1,4,羽毛球,2,0,0,0,25,3.41,120,111,3,1,0,472,89.4,89,概率论,5,null,0,2,全国大数据竞赛，全国统计建模大赛,0,12,15,18,19,21,6,909,809,177,65,0,1,10栋227,0,珠海,教育,1,32,909,1,0.4,0,0,0,0,0,0,0
王好,1,161203106347,贵州镇宁,贵州镇宁,15814417078,5gg5r3447@163.com,汉,3,2,4,羽毛球,2,0,0,0,26,3.36,120,105,6,2,1,473,92.8,66,高等数学;线性代数,5,null,0,2,全国大数据竞赛，全国统计建模大赛,0,13,16,19,20,22,7,800,700,168,65,0,0,11栋228,0,null,null,2,23,800,1,0.5,0,0,0,0,0,0,0
王诗,2,161203106522,福建石狮,福建石狮,13128540100,4ftg423447@163.com,汉,3,2,4,网球,2,0,0,0,27,3.35,120,105,6,2,1,474,72.4,89,高等数学;线性代数,5,null,0,2,全国数学建模大赛，全国统计建模大赛,0,14,17,20,21,23,8,801,701,168,65,0,0,12栋229,0,null,null,2,34,801,1,0.5,0,0,0,0,0,0,0
邱剑,2,161203105353,广东惠州,广东惠州,15975453677,5gg4frf4f@163.com,汉,3,1,5,网球,2,1,0,0,28,3.34,120,105,6,2,1,475,68,91,高等数学;概率论,5,null,0,2,全国数学建模大赛，全国统计建模大赛,0,15,18,21,22,24,9,802,702,168,65,0,0,14栋230,0,null,null,2,21,802,1,0.5,0,0,0,0,0,0,0
张海,1,161203105328,湖南邵阳,湖南邵阳,13169651796,4f5f4f47@163.com,汉,3,2,5,网球,2,1,0,0,29,3.33,120,105,6,2,1,476,69.4,96,线性代数;概率论,5,null,0,3,全国数学建模大赛，全国统计建模大赛，全国大数据建模大赛,0,16,19,22,23,25,10,803,703,168,65,0,0,15栋231,1,null,null,2,15,803,1,0.5,0,0,0,0,0,0,0
吴丽,2,161203105374,广东汕尾,广东汕尾,13537448433,5f45hwerd@163.com,汉,4,1,5,网球,2,1,0,0,30,3.32,120,102,9,3,1,477,65.2,96,高等数学;线性代数;概率论,5,null,0,3,全国数学建模大赛，全国统计建模大赛，全国大数据建模大赛,0,17,20,23,24,26,15,804,704,168,55,0,0,14栋232,2,null,null,2,25,804,1,0.5,0,0,0,0,0,0,0
林未来,1,161203106340,吉林白山,吉林白山,13600039652,f5g5y23447@163.com,汉,4,2,5,网球,2,1,0,0,31,3.31,120,102,9,3,1,480,89.4,74,高等数学;线性代数;概率论,5,null,0,3,全国数学建模大赛，全国统计建模大赛，全国大数据建模大赛,0,18,21,24,25,27,16,805,705,168,55,1,0,12栋233,0,null,null,2,20,805,1,0.5,0,0,0,0,0,0,0
黄逸,2,161203105324,广东广州,广东广州,13250567178,5ghu2345547@163.com,汉,4,2,5,跳舞,2,1,0,1,32,3.3,120,90,0,0,0,481,89.6,89,null,5,羽毛球社团,1,3,全国数学建模大赛，全国统计建模大赛，全国大数据建模大赛,0,19,22,25,26,28,17,806,706,168,55,1,0,4栋234,0,null,null,2,20,806,1,0.5,0,0,0,0,0,0,0
吴林,1,171203105331,湖南益阳,广东深圳,13450976260,925gff54f447@163.com,汉,4,1,5,跳舞,2,1,0,1,33,3.2,120,90,0,0,0,482,91.6,85,null,5,羽毛球社团,1,3,全国数学建模大赛，全国统计建模大赛，全国大数据建模大赛,0,20,23,26,27,29,18,807,707,168,55,2,0,1栋235,0,null,null,3,30,807,1,0.5,0,0,0,0,0,0,0
张潇,2,171203107244,山西文水,山西文水,13630108648,5ffh5447@163.com,汉,4,2,5,跳舞,2,1,0,1,34,3.1,120,90,0,0,0,483,87.6,74,null,5,羽毛球社团,1,3,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛,0,10,15,27,28,30,19,600,550,173,70,0,0,6栋236,3,null,null,3,32,600,1,0.5,0,0,0,1,0,0,0
胡馨,1,171203107220,江苏镇江,江苏镇江,15016627015,gfy523447@163.com,汉,4,1,5,跳舞,1,1,0,1,35,3.09,120,90,0,0,0,484,81.4,84,null,5,乒乓球社团,1,3,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛,0,11,16,15,29,31,20,601,551,173,70,0,0,5栋237,4,null,null,3,31,601,1,0.6,0,0,0,0,0,0,0
李绮,1,171203105367,广东肇庆,广东肇庆,18928786172,h64tf123447@163.com,汉,5,2,5,跳舞,1,1,0,1,36,3.08,120,80,0,0,0,485,88.8,75,null,5,乒乓球社团,1,3,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛,0,12,17,16,30,32,21,602,552,173,70,0,0,14栋238,0,珠海,游戏,3,35,602,1,0.6,0,0,0,0,0,0,0
刘哲,2,171203107237,黑龙江大庆,黑龙江大庆,13288409638,4g56433447@163.com,回族,5,2,5,跳舞,1,1,0,1,37,3.07,120,80,0,0,0,486,86.4,92,null,1,乒乓球社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,13,18,17,15,33,22,603,553,173,70,0,0,1栋239,0,珠海,医药,3,21,603,1,0.6,0,0,0,0,0,1,0
郭芷,1,171203107240,山东安丘,山东安丘,13642797636,hfh5447@126.com,汉,5,1,5,唱歌,1,1,0,1,38,3.06,120,80,0,0,0,487,77.2,80,null,2,乒乓球社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,14,19,18,16,34,10,604,554,173,70,0,0,1栋240,0,珠海,教育,3,14,604,1,0.6,0,0,0,0,0,0,0
张世,2,171203107241,山西大同,山西大同,13128526068,hdevvvfe7@126.com,汉,5,2,5,唱歌,1,1,0,1,39,3.05,120,80,0,0,0,488,92.4,84,null,3,乒乓球社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,15,20,19,17,35,11,605,555,173,70,0,0,14栋241,0,null,null,3,25,605,1,0.6,0,0,0,0,0,0,0
阮淑,2,171203105326,广东广州,广东广州,13113425211,dzewr447@126.com,汉,5,1,5,唱歌,1,1,0,1,40,2.9,120,80,0,0,0,489,90,60,null,4,网球社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,16,21,20,18,36,12,606,556,160,45,0,0,13栋242,0,null,null,4,50,606,1,0.6,0,0,0,0,0,0,0
吴海,1,171203105335,安徽合肥,安徽合肥,13169674766,rxfer5447@126.com,汉,5,3,5,唱歌,1,1,0,1,41,2.8,120,80,0,0,0,510,94,60,null,5,网球社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,17,22,21,19,37,13,607,557,160,45,0,0,9栋243,0,null,null,4,35,607,1,0.6,0,0,0,0,0,0,0
伍倩,2,171203105396,广东云浮,广东云浮,18620191688,wr5dfef7@126.com,汉,2,2,5,唱歌,1,1,0,1,42,2.5,120,80,0,0,0,511,91.6,68,null,6,网球社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,18,23,22,20,38,14,1200,1109,160,45,0,0,1栋244,0,null,null,4,42,1200,1,0.7,0,0,0,0,0,0,0
陈二,2,171203105347,广东汕头,广东汕头,18853738159,r447rsaf@126.com,汉,2,3,5,唱歌,1,1,0,1,43,2.4,120,80,0,0,0,512,77.8,73,null,7,摄影社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,19,15,23,21,39,15,1201,1110,160,45,0,0,6栋245,0,null,null,4,32,1201,1,0.7,0,0,0,0,0,0,0
刘珊,1,171203105372,广东梅州,广东梅州,13192277001,er3fcde47@126.com,汉,2,1,5,唱歌,1,1,0,1,44,2.3,120,80,0,0,0,513,68.8,63,null,8,摄影社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,20,16,24,22,40,16,1202,1111,160,45,0,0,10栋246,0,广州,互联网,4,31,1202,1,0.7,0,0,0,0,0,0,0
王俊,2,171203105379,广东东莞,广东东莞,15769682373,r3e44www7@126.com,汉,2,2,5,唱歌,1,1,0,1,45,2.22,120,80,0,0,0,514,89.6,92,null,9,摄影社团,1,4,全国数学建模大赛，全国统计建模大赛，泰迪杯统计建模大赛，全国大数据竞赛,0,5,17,25,23,41,17,1203,1112,160,45,0,0,11栋247,0,深圳,互联网,4,40,1203,1,0.7,0,0,0,0,0,0,0
洪圣,2,171203106521,福建莆田,福建莆田,15975377250,rdfet47@126.com,汉,2,1,5,唱歌,1,1,0,1,46,2.1,120,80,0,0,0,515,82.2,74,null,10,摄影社团,1,0,null,0,6,18,26,24,42,18,1204,1113,180,71,0,0,12栋248,0,广州,医药,4,24,1204,1,0.8,0,0,0,0,0,0,0
朱汇,1,171203106341,吉林长春,吉林长春,13169617970,hfh54wwr47@126.com,汉,2,3,5,书法 ,0,1,0,1,47,1.9,120,80,0,0,0,516,88,80,null,4,摄影社团,1,0,null,0,7,19,27,25,10,30,1205,1114,180,71,0,0,5栋249,0,深圳,教育,4,32,1205,1,0.8,0,0,0,0,0,0,0
麦敬,2,171203105325,广东广州,广东广州,13128593422,ever47@126.com,汉,2,2,5,书法 ,0,1,0,1,48,1.8,120,80,0,0,0,517,88.4,85,null,4,公益社团,1,0,null,0,8,20,28,26,11,31,1100,1000,180,71,0,0,3栋330,0,null,null,5,25,1100,1,0.8,0,0,0,0,0,0,0
王志,1,171203105333,浙江建德,浙江建德,13192219858,hfh5rer447@126.com,汉,2,1,5,书法 ,0,1,0,1,49,1.7,120,80,0,0,0,518,75.6,82,null,4,公益社团,1,0,null,0,9,21,29,27,12,32,1101,1001,180,71,0,0,3栋520,0,null,null,5,18,1101,1,0.8,0,0,0,0,0,0,0
杨泽,1,171203105336,广东深圳,广东深圳,15994833039,12wrwrw3e47@163.com,汉,2,3,5,书法 ,0,1,1,1,50,1.6,120,80,0,0,0,519,89.8,66,null,4,公益社团,1,0,null,0,10,22,30,28,13,33,1102,1002,180,71,0,0,2栋252,0,null,null,5,19,1102,1,0.8,0,0,0,0,1,0,0
